Category,Current (Curses),New (Textual),File Location,Priority,Notes
Interface,BaseUI (abstract),ui/interfaces/base_ui.py,Low,Abstraction layer
Adapter,CursesAdapter,BaseUI implementation,ui/adapters/curses_adapter.py,High,Preserves current UI
Adapter,TextualAdapter,BaseUI implementation,ui/adapters/textual_adapter.py,High,New UI implementation
Bridge,GameUIBridge,Event queue,ui/game_bridge.py,High,Game → UI communication
Factory,UIFactory,Mode selection,ui/ui_factory.py,High,Curses vs Textual switch

Layout,Fixed grid (y\,x),CSS Grid,ui/styles/,High,grid-size\, grid-rows
Layout,Manual centering,CSS align,ui/styles/,High,align: center middle
Layout,Hardcoded sizes,fr units,ui/styles/,Medium,1fr for flexible
Layout,Stack items,Vertical container,ui/containers/,High,Built-in container
Layout,Side by side,Horizontal container,ui/containers/,High,Built-in container

Style,No colors,CSS colors,ui/styles/,Medium,color: $primary etc
Style,Basic attributes,Rich markup,Widgets,Medium,[bold]\, [red] etc
Style,Fixed appearance,CSS themes,ui/themes.py,Low,Multiple themes
Style,No borders,CSS borders,ui/styles/,Low,border: solid $primary

State,Direct assignment,Reactive properties,Widgets,High,watch_property methods
State,Manual tracking,Textual reactive,Widgets,High,Automatic updates
State,No data binding,Reactive bindings,Widgets,High,Data → UI sync
State,Polling updates,Event-driven,App/Screens,High,Push not pull

Event,getch() blocking,on_key() async,Event handlers,High,Non-blocking I/O
Event,Manual dispatch,Textual messaging,Built-in,High,Component communication
Event,No callbacks,Action system,App.action_* methods,High,Declarative actions
Event,Tight coupling,Event bridge,ui/game_bridge.py,High,Loose coupling

Animation,None,AnimationController,ui/animations.py,Low,New capability
Animation,None,Screen transitions,ui/transitions.py,Low,Fade\, slide effects
Animation,None,Widget animations,Widget methods,Low,Shake\, flash\, etc

Test,Manual testing only,Textual Pilot,tests/test_ui_*.py,Medium,Automated UI tests
Test,No UI tests,pytest + asyncio,tests/,Medium,Full test coverage
Test,Manual validation,Component tests,tests/test_ui_components.py,Medium,Unit tests
Test,End-to-end manual,Integration tests,tests/test_ui_integration.py,Low,Automated flows
